start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2023-08-21T14:40:30.384073,2023-08-21T14:40:30.388742,0.004669,1,10,1,1,1,1,1,1.0
2023-08-21T14:40:30.388892,2023-08-21T14:40:30.389751,0.000859,1,1,1,1,1,1,1,1.0
2023-08-21T14:40:30.389883,2023-08-21T14:40:30.390658,0.000775,1,0,1,1,1,1,1,1.0
2023-08-21T14:40:30.390781,2023-08-21T14:40:30.391532,0.000751,1,11,1,1,1,1,1,1.0
2023-08-21T14:40:30.391652,2023-08-21T14:40:30.392408,0.000756,1,4,1,1,1,1,1,1.0
2023-08-21T14:40:30.392531,2023-08-21T14:40:30.393256,0.000725,1,3,1,1,1,1,1,1.0
2023-08-21T14:40:30.393378,2023-08-21T14:40:30.394101,0.000723,1,3,1,1,1,1,1,1.0
2023-08-21T14:40:30.394222,2023-08-21T14:40:30.394956,0.000734,1,2,1,1,1,1,1,1.0
2023-08-21T14:40:30.395077,2023-08-21T14:40:30.395825,0.000748,1,11,1,1,1,1,1,1.0
2023-08-21T14:40:30.395945,2023-08-21T14:40:30.396665,0.00072,1,1,1,1,1,1,1,1.0
2023-08-21T14:40:30.396785,2023-08-21T14:40:30.397515,0.00073,1,10,1,1,1,1,1,1.0
2023-08-21T14:40:30.397632,2023-08-21T14:40:30.398351,0.000719,1,11,1,1,1,1,1,1.0
2023-08-21T14:40:30.398470,2023-08-21T14:40:30.399194,0.000724,1,8,1,1,1,1,1,1.0
2023-08-21T14:40:30.399312,2023-08-21T14:40:30.400051,0.000739,1,1,1,1,1,1,1,1.0
2023-08-21T14:40:30.400171,2023-08-21T14:40:30.400890,0.000719,1,9,1,1,1,1,1,1.0
2023-08-21T14:40:30.401007,2023-08-21T14:40:30.401720,0.000713,1,6,1,1,1,1,1,1.0
2023-08-21T14:40:30.401834,2023-08-21T14:40:30.402545,0.000711,1,0,1,1,1,1,1,1.0
2023-08-21T14:40:30.402663,2023-08-21T14:40:30.403371,0.000708,1,0,1,1,1,1,1,1.0
2023-08-21T14:40:30.403488,2023-08-21T14:40:30.404208,0.00072,1,1,1,1,1,1,1,1.0
2023-08-21T14:40:30.404329,2023-08-21T14:40:30.405051,0.000722,1,3,1,1,1,1,1,1.0
2023-08-21T14:40:30.405640,2023-08-21T14:40:30.407217,0.001577,2,3 8,1,2,2,2,2,1.5
2023-08-21T14:40:30.407485,2023-08-21T14:40:30.409831,0.002346,2,0 8,1,3,2,2,2,1.6875
2023-08-21T14:40:30.410066,2023-08-21T14:40:30.412161,0.002095,2,11 10,1,3,2,2,2,1.6875
2023-08-21T14:40:30.412433,2023-08-21T14:40:30.414470,0.002037,2,8 6,1,3,2,2,2,1.6875
2023-08-21T14:40:30.414738,2023-08-21T14:40:30.416857,0.002119,2,7 9,1,3,2,2,2,1.6875
2023-08-21T14:40:30.417127,2023-08-21T14:40:30.419206,0.002079,2,0 2,1,3,2,2,2,1.6875
2023-08-21T14:40:30.419481,2023-08-21T14:40:30.421577,0.002096,2,6 5,1,3,2,2,2,1.6875
2023-08-21T14:40:30.421957,2023-08-21T14:40:30.424001,0.002044,2,2 3,1,3,2,2,2,1.6875
2023-08-21T14:40:30.424391,2023-08-21T14:40:30.426474,0.002083,2,1 1,1,3,2,2,2,1.6875
2023-08-21T14:40:30.426736,2023-08-21T14:40:30.428839,0.002103,2,1 5,1,3,2,2,2,1.6875
2023-08-21T14:40:30.429219,2023-08-21T14:40:30.431246,0.002027,2,9 4,1,3,2,2,2,1.6875
2023-08-21T14:40:30.431621,2023-08-21T14:40:30.433694,0.002073,2,11 7,1,3,2,2,2,1.6875
2023-08-21T14:40:30.433958,2023-08-21T14:40:30.436038,0.00208,2,1 6,1,3,2,2,2,1.6875
2023-08-21T14:40:30.436304,2023-08-21T14:40:30.437762,0.001458,2,8 4,1,2,2,2,2,1.5
2023-08-21T14:40:30.438015,2023-08-21T14:40:30.440064,0.002049,2,9 5,1,3,2,2,2,1.6875
2023-08-21T14:40:30.440434,2023-08-21T14:40:30.442497,0.002063,2,3 11,1,3,2,2,2,1.6875
2023-08-21T14:40:30.442878,2023-08-21T14:40:30.444934,0.002056,2,0 10,1,3,2,2,2,1.6875
2023-08-21T14:40:30.445310,2023-08-21T14:40:30.447364,0.002054,2,4 1,1,3,2,2,2,1.6875
2023-08-21T14:40:30.447743,2023-08-21T14:40:30.449801,0.002058,2,1 6,1,3,2,2,2,1.6875
2023-08-21T14:40:30.450058,2023-08-21T14:40:30.452169,0.002111,2,7 10,1,3,2,2,2,1.6875
2023-08-21T14:40:30.452857,2023-08-21T14:40:30.456330,0.003473,3,2 5 5,1,5,3,3,3,2.230769230769231
2023-08-21T14:40:30.456861,2023-08-21T14:40:30.457667,0.000806,3,4 11 10,1,1,1,1,1,1.0
2023-08-21T14:40:30.457785,2023-08-21T14:40:30.461245,0.00346,3,10 1 9,1,5,3,3,3,2.230769230769231
2023-08-21T14:40:30.461830,2023-08-21T14:40:30.465322,0.003492,3,8 11 3,1,5,3,3,3,2.230769230769231
2023-08-21T14:40:30.465744,2023-08-21T14:40:30.469239,0.003495,3,6 4 11,1,5,3,3,3,2.230769230769231
2023-08-21T14:40:30.469820,2023-08-21T14:40:30.473323,0.003503,3,10 5 0,1,5,3,3,3,2.0384615384615383
2023-08-21T14:40:30.473910,2023-08-21T14:40:30.477389,0.003479,3,5 6 4,1,5,3,3,3,2.230769230769231
2023-08-21T14:40:30.477888,2023-08-21T14:40:30.484152,0.006264,3,9 11 3,1,9,3,3,4,2.608695652173913
2023-08-21T14:40:30.484934,2023-08-21T14:40:30.488435,0.003501,3,7 2 4,1,5,3,3,3,2.230769230769231
2023-08-21T14:40:30.488953,2023-08-21T14:40:30.492376,0.003423,3,11 8 8,1,5,3,3,3,2.230769230769231
2023-08-21T14:40:30.492876,2023-08-21T14:40:30.496343,0.003467,3,9 6 9,1,5,3,3,3,2.230769230769231
2023-08-21T14:40:30.496841,2023-08-21T14:40:30.499662,0.002821,3,3 2 7,1,4,3,3,3,2.261904761904762
2023-08-21T14:40:30.500160,2023-08-21T14:40:30.503570,0.00341,3,1 2 10,1,5,3,3,3,2.0384615384615383
2023-08-21T14:40:30.504149,2023-08-21T14:40:30.507532,0.003383,3,6 9 1,1,5,3,3,3,2.35
2023-08-21T14:40:30.508140,2023-08-21T14:40:30.511558,0.003418,3,9 7 8,1,5,3,3,3,2.0384615384615383
2023-08-21T14:40:30.512131,2023-08-21T14:40:30.516215,0.004084,3,0 10 11,1,6,3,3,3,2.3142857142857145
2023-08-21T14:40:30.516816,2023-08-21T14:40:30.520304,0.003488,3,4 5 1,1,5,3,3,3,2.230769230769231
2023-08-21T14:40:30.520866,2023-08-21T14:40:30.525514,0.004648,3,2 7 0,1,7,3,3,3,2.4125
2023-08-21T14:40:30.526107,2023-08-21T14:40:30.530164,0.004057,3,8 8 1,1,6,3,3,3,2.2096774193548385
2023-08-21T14:40:30.530832,2023-08-21T14:40:30.534968,0.004136,3,10 8 9,1,6,3,3,3,2.4571428571428573
2023-08-21T14:40:30.535981,2023-08-21T14:40:30.543283,0.007302,4,2 0 9 5,1,11,4,4,4,2.7857142857142856
2023-08-21T14:40:30.544401,2023-08-21T14:40:30.548634,0.004233,4,4 3 0 3,1,6,4,4,4,3.0
2023-08-21T14:40:30.549412,2023-08-21T14:40:30.554253,0.004841,4,11 7 8 10,1,7,4,4,4,2.8875
2023-08-21T14:40:30.554885,2023-08-21T14:40:30.560979,0.006094,4,4 8 9 6,1,9,4,4,4,3.03
2023-08-21T14:40:30.561720,2023-08-21T14:40:30.566555,0.004835,4,3 11 4 6,1,7,4,4,4,2.8875
2023-08-21T14:40:30.567341,2023-08-21T14:40:30.572168,0.004827,4,7 8 7 3,1,7,4,4,4,2.611111111111111
2023-08-21T14:40:30.572851,2023-08-21T14:40:30.574906,0.002055,4,0 9 8 3,1,3,2,2,2,1.6875
