duration,depth,scramble,is_solved,solve_steps,solution
0.0026,1,10,1,0,
0.000566,1,1,1,0,
0.000518,1,0,1,0,
0.000508,1,11,1,0,
0.000503,1,4,1,0,
0.000509,1,3,1,0,
0.000672,1,3,1,0,
0.000504,1,2,1,0,
0.000505,1,11,1,0,
0.000507,1,1,1,0,
0.000509,1,10,1,0,
0.000501,1,11,1,0,
0.000519,1,8,1,0,
0.000511,1,1,1,0,
0.00079,1,9,1,0,
0.000521,1,6,1,0,
0.000518,1,0,1,0,
0.000519,1,0,1,0,
0.000518,1,1,1,0,
0.00081,1,3,1,0,
0.001437,2,3 8,1,1,
0.001598,2,0 8,1,2,
0.001571,2,11 10,1,2,
0.001569,2,8 6,1,2,
0.00156,2,7 9,1,2,
0.001572,2,0 2,1,2,
0.001561,2,6 5,1,2,
0.001571,2,2 3,1,2,
0.001838,2,1 1,1,2,
0.001561,2,1 5,1,2,
0.001575,2,9 4,1,2,
0.001574,2,11 7,1,2,
0.001562,2,1 6,1,2,
0.001334,2,8 4,1,1,
0.001571,2,9 5,1,2,
0.001564,2,3 11,1,2,
0.001559,2,0 10,1,2,
0.001564,2,4 1,1,2,
0.00179,2,1 6,1,2,
0.001559,2,7 10,1,2,
0.003838,3,2 5 5,1,6,
0.003852,3,11 10 10,1,6,
0.003887,3,2 11 3,1,6,
0.00429,3,4 11 8,1,7,
0.002689,3,0 3 0,1,4,
0.002143,3,4 1 3,1,3,
0.002815,3,5 3 10,1,4,
0.033213,3,10 7 2,1,37,
0.002853,3,1 2 10,1,4,
0.002676,3,6 9 1,1,4,
0.004365,3,9 7 8,1,7,
0.002799,3,1 10 8,1,4,
0.003736,3,5 1 4,1,6,
0.004281,3,7 0 11,1,7,
0.034726,3,2 1 10,1,40,
0.002162,3,3 1 1,1,3,
0.017121,3,1 8 10,1,25,
0.003219,3,6 10 10,1,5,
0.002307,3,8 7 3,1,3,
0.071982,3,5 0 9,1,64,
0.032577,4,10 6 5 6,1,47,
0.034534,4,7 3 1 8,1,44,
0.0046,4,11 8 10 11,1,7,
0.083128,4,4 3 0 9,1,77,
0.037303,4,3 4 6 2,1,42,
0.032526,4,4 2 7 8,1,36,
0.02301,4,9 11 3 10,1,29,
0.2058,4,4 2 11 7,1,184,
0.005641,4,8 10 11 11,1,9,
0.001599,4,1 10 5 9,1,2,
0.001057,4,10 1 11 4,1,1,
0.005215,4,4 6 5 6,1,8,
3.457965,4,3 6 10 6,1,1506,
0.005219,4,4 3 5 3,1,8,
0.001612,4,10 11 10 10,1,2,
0.033975,4,10 1 10 10,1,43,
0.074573,4,7 4 11 1,1,88,
0.008685,4,4 6 1 2,1,14,
0.005544,4,2 6 7 5,1,9,
0.079163,4,9 11 11 2,1,82,
0.002763,5,8 3 3 3 5,1,4,
0.780042,5,0 4 2 2 4,1,867,
0.03118,5,10 6 8 5 0,1,35,
0.048617,5,5 9 2 9 6,1,52,
0.905287,5,10 9 7 7 4,1,772,
0.054289,5,10 9 4 3 6,1,53,
0.090802,5,2 5 5 5 6,1,87,
0.567854,5,7 9 10 10 7,1,644,
0.104442,5,5 3 0 10 1,1,94,
1.500822,5,5 8 7 10 3,1,823,
1.998569,5,6 6 2 10 9,1,1037,
0.002938,5,1 10 5 4 1,1,4,
0.298125,5,10 2 0 10 11,1,248,
0.262988,5,4 3 0 0 8,1,280,
0.004451,5,8 7 0 5 3,1,7,
0.521973,5,11 9 7 5 9,1,336,
0.040664,5,6 8 7 0 1,1,44,
0.034771,5,4 2 0 5 9,1,43,
0.077163,5,6 5 2 2 3,1,78,
0.01514,5,0 2 9 11 2,1,25,
1.871047,6,5 2 2 11 6 10,1,1050,
0.07814,6,7 4 3 2 9 2,1,84,
0.07819,6,7 11 8 9 8 5,1,81,
0.470722,6,8 4 7 11 2 3,1,512,
21.625801,6,8 8 5 1 0 2,1,10316,
0.237357,6,10 8 5 1 0 10,1,268,
0.028885,6,7 11 9 2 2 10,1,44,
0.234791,6,10 1 2 11 0 9,1,265,
0.09164,6,0 7 9 4 2 0,1,117,
18.306627,6,11 11 7 6 8 1,1,7257,
0.508119,6,5 7 9 0 7 3,1,398,
0.001764,6,6 1 2 9 4 3,1,2,
0.003849,6,8 5 2 9 8 9,1,6,
0.041632,6,2 6 10 0 7 8,1,51,
0.087351,6,0 11 3 8 8 11,1,90,
3.955716,6,2 11 10 3 2 11,1,3814,
0.118456,6,6 5 10 0 8 4,1,137,
0.051071,6,9 4 4 9 8 8,1,77,
1.156618,6,1 3 3 0 11 3,1,1144,
28.46943,6,2 7 4 0 11 3,1,8412,
1.2827,7,6 4 11 4 9 10 6,1,1107,
13.808723,7,9 7 8 7 11 1 8,1,5277,
0.003443,7,9 9 9 6 9 8 8,1,4,
81.630448,7,9 0 4 5 7 9 11,1,20888,
0.478554,7,11 1 0 1 6 11 2,1,245,
0.082185,7,1 0 0 11 0 9 0,1,45,
0.099837,7,1 5 8 9 2 9 10,1,118,
8.78541,7,4 2 1 8 9 1 11,1,3760,
5.394303,7,7 11 7 4 0 3 7,1,1683,
10.368257,7,4 6 10 11 0 1 10,1,3540,
5.884198,7,2 0 5 9 8 10 6,1,2765,
5.626303,7,1 4 8 9 0 3 0,1,2972,
0.059913,7,8 3 3 5 6 8 9,1,64,
3.203392,7,10 9 5 7 11 9 10,1,1435,
3.836423,7,11 3 0 4 9 4 8,1,2038,
2.666153,7,5 9 6 8 10 11 8,1,1295,
1.754962,7,11 9 5 5 8 10 11,1,801,
88.549686,7,6 4 8 4 9 7 7,0,30001,
0.130927,7,0 4 9 4 6 1 3,1,68,
3.773102,7,0 3 6 3 10 8 5,1,2197,
1.590978,8,8 10 9 11 9 6 9 6,1,823,
0.076123,8,3 3 3 5 6 9 4 2,1,69,
8.180439,8,3 10 2 10 6 5 2 3,1,3477,
0.177229,8,11 7 4 3 5 1 4 9,1,82,
0.086661,8,6 4 1 11 6 10 2 9,1,55,
0.134779,8,6 8 5 0 4 11 11 10,1,73,
0.047555,8,3 4 0 8 7 0 5 6,1,53,
128.099436,8,8 0 0 5 5 7 11 3,1,19952,
0.25891,8,8 6 1 8 6 10 10 11,1,163,
5.657192,8,8 6 4 8 8 3 6 2,1,2280,
13.427564,8,5 7 5 1 11 3 1 8,1,4524,
1.004745,8,5 0 1 2 10 2 2 1,1,752,
6.541888,8,3 4 11 11 3 2 5 1,1,3776,
0.953372,8,1 4 9 8 7 11 4 2,1,611,
0.076467,8,0 7 8 4 11 10 8 4,1,83,
0.185759,8,11 0 8 3 0 3 11 4,1,162,
87.59943,8,4 2 0 3 3 10 8 7,1,15535,
1.04339,8,3 5 8 11 8 0 5 8,1,385,
4.447906,8,8 9 10 7 3 10 0 3,1,2638,
0.179071,8,10 0 4 0 4 4 1 6,1,141,
98.770871,9,7 3 10 0 1 9 11 9 5,0,30001,
2.538656,9,3 2 1 3 11 0 1 9 8,1,1311,
10.335435,9,9 1 6 7 6 9 4 1 11,1,4758,
2.873368,9,9 10 7 3 10 11 3 11 10,1,1148,
1.646381,9,10 5 10 2 0 8 3 5 0,1,855,
1.660046,9,0 0 9 1 8 11 0 7 3,1,606,
0.369448,9,3 10 3 4 4 11 1 9 0,1,199,
0.424705,9,3 4 5 5 1 6 3 8 8,1,261,
14.828958,9,8 10 11 3 0 3 3 5 0,1,3820,
0.003596,9,2 11 6 1 2 5 9 2 7,1,5,
0.657998,9,6 4 0 2 7 8 11 3 0,1,222,
0.44937,9,3 3 1 4 2 1 10 11 4,1,398,
29.383443,9,10 5 4 9 10 1 11 7 8,1,11384,
27.396986,9,10 6 7 4 7 0 10 2 3,1,12611,
0.004286,9,10 8 8 4 5 7 7 10 10,1,6,
0.249664,9,10 9 7 5 10 9 9 8 9,1,174,
22.322987,9,8 3 2 5 5 1 2 1 3,1,7806,
2.573947,9,4 9 9 0 3 3 2 11 11,1,951,
7.979757,9,9 9 0 3 0 3 11 11 11,1,3821,
19.508173,9,0 2 11 6 7 4 0 2 0,1,9813,
6.768647,10,8 8 7 4 3 11 6 5 3 10,1,3379,
1.932813,10,3 7 0 0 9 1 1 1 6 11,1,1343,
4.669839,10,4 9 0 4 6 3 5 1 1 4,1,2007,
0.242418,10,3 1 5 6 8 3 4 3 4 7,1,147,
1.621535,10,9 1 6 5 4 9 4 1 5 8,1,1233,
1.925577,10,3 4 2 0 4 2 4 9 11 9,1,1122,
80.975359,10,10 3 11 0 8 1 10 5 5 5,0,30001,
54.242196,10,5 9 8 6 4 11 9 11 10 2,1,22881,
75.037526,10,6 2 6 9 7 6 3 6 11 11,1,17200,
