duration,depth,scramble,is_solved,solve_steps,solution
0.006818,1,10,1,0,
0.004802,1,1,1,0,
0.004929,1,0,1,0,
0.004831,1,11,1,0,
0.004894,1,4,1,0,
0.004896,1,3,1,0,
0.004872,1,3,1,0,
0.004906,1,2,1,0,
0.004926,1,11,1,0,
0.004889,1,1,1,0,
0.004893,1,10,1,0,
0.004887,1,11,1,0,
0.004903,1,8,1,0,
0.004917,1,1,1,0,
0.00489,1,9,1,0,
0.004918,1,6,1,0,
0.004906,1,0,1,0,
0.004886,1,0,1,0,
0.004927,1,1,1,0,
0.004843,1,3,1,0,
0.009314,2,3 8,1,1,
0.01479,2,0 8,1,2,
0.014737,2,11 10,1,2,
0.014782,2,8 6,1,2,
0.014722,2,7 9,1,2,
0.014746,2,0 2,1,2,
0.011985,2,6 5,1,2,
0.014782,2,2 3,1,2,
0.014719,2,1 1,1,2,
0.014762,2,1 5,1,2,
0.014775,2,9 4,1,2,
0.014674,2,11 7,1,2,
0.014801,2,1 6,1,2,
0.009758,2,8 4,1,1,
0.014732,2,9 5,1,2,
0.014685,2,3 11,1,2,
0.014675,2,0 10,1,2,
0.014764,2,4 1,1,2,
0.014726,2,1 6,1,2,
0.01474,2,7 10,1,2,
0.033653,3,2 5 5,1,6,
0.03326,3,11 10 10,1,6,
0.034348,3,2 11 3,1,6,
0.039012,3,4 11 8,1,7,
0.024448,3,0 3 0,1,4,
0.019598,3,4 1 3,1,3,
0.024597,3,5 3 10,1,4,
0.146565,3,10 7 2,1,29,
0.004737,3,7 0 1,1,0,
0.024382,3,2 10 2,1,4,
0.029698,3,9 1 6,1,5,
0.181706,3,7 8 4,1,36,
0.024316,3,8 8 1,1,4,
0.019605,3,10 8 9,1,3,
0.024568,3,5 2 0,1,4,
0.004842,3,7 0 1,1,0,
0.02457,3,5 4 3,1,4,
0.01967,3,9 1 1,1,3,
0.156112,3,1 8 10,1,31,
0.039078,3,10 10 5,1,7,
0.058344,4,1 3 3 1,1,11,
0.047987,4,9 0 1 11,1,9,
0.727862,4,0 5 1 8,1,147,
0.038509,4,11 8 10 11,1,7,
0.92828,4,4 3 0 9,1,381,
1.282737,4,5 0 1 4,1,876,
0.031088,4,2 4 0 0,1,41,
0.004895,4,1 9 10 10,1,8,
0.004314,4,4 1 3 1,1,7,
