duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
0.008903,1,10,1,1,1,1,1,1
0.004627,1,1,1,1,1,1,1,1
0.004769,1,0,1,1,1,1,1,1
0.004765,1,11,1,1,1,1,1,1
0.005167,1,4,1,1,1,1,1,1
0.004322,1,3,1,1,1,1,1,1
0.004739,1,3,1,1,1,1,1,1
0.003777,1,2,1,1,1,1,1,1
0.004907,1,11,1,1,1,1,1,1
0.004765,1,1,1,1,1,1,1,1
0.00477,1,10,1,1,1,1,1,1
0.004765,1,11,1,1,1,1,1,1
0.004683,1,8,1,1,1,1,1,1
0.004773,1,1,1,1,1,1,1,1
0.004733,1,9,1,1,1,1,1,1
0.004752,1,6,1,1,1,1,1,1
0.004777,1,0,1,1,1,1,1,1
0.004774,1,0,1,1,1,1,1,1
0.004759,1,1,1,1,1,1,1,1
0.004743,1,3,1,1,1,1,1,1
0.009058,2,3 8,1,2,2,2,2,1.5
0.014373,2,0 8,1,3,2,2,2,1.6875
0.01432,2,11 10,1,3,2,2,2,1.6875
0.014389,2,8 6,1,3,2,2,2,1.6875
0.01441,2,7 9,1,3,2,2,2,1.6875
0.014364,2,0 2,1,3,2,2,2,1.6875
0.014401,2,6 5,1,3,2,2,2,1.6875
0.014331,2,2 3,1,3,2,2,2,1.6875
0.014169,2,1 1,1,3,2,2,2,1.6875
0.014362,2,1 5,1,3,2,2,2,1.6875
0.010563,2,9 4,1,3,2,2,2,1.6875
0.014301,2,11 7,1,3,2,2,2,1.6875
0.014422,2,1 6,1,3,2,2,2,1.6875
0.009559,2,8 4,1,2,2,2,2,1.5
0.014214,2,9 5,1,3,2,2,2,1.6875
0.014292,2,3 11,1,3,2,2,2,1.6875
0.014348,2,0 10,1,3,2,2,2,1.6875
0.01428,2,4 1,1,3,2,2,2,1.6875
0.014316,2,1 6,1,3,2,2,2,1.6875
0.014361,2,7 10,1,3,2,2,2,1.6875
0.033306,3,2 5 5,1,7,3,3,3,2.4125
0.029224,3,11 10 10,1,7,3,3,3,2.2875
0.033595,3,2 11 3,1,7,3,3,3,2.333333333
0.038429,3,4 11 8,1,8,3,3,3,2.377777778
0.023637,3,0 3 0,1,5,3,3,3,2.230769231
0.019004,3,4 1 3,1,4,3,3,3,2.261904762
0.02395,3,5 3 10,1,5,3,3,3,2.230769231
0.179606,3,10 7 2,1,38,45,5,6,3.985655738
0.02366,3,1 2 10,1,5,3,3,3,2.038461538
0.023777,3,6 9 1,1,5,3,3,3,2.35
0.035711,3,9 7 8,1,8,3,3,3,2.304878049
0.023879,3,1 10 8,1,5,3,3,3,2.230769231
0.033532,3,5 1 4,1,7,3,3,3,2.194444444
0.0383,3,7 0 11,1,8,3,3,3,2.377777778
0.112416,3,2 1 10,1,41,35,5,6,4.055309735
0.002004,3,3 1 1,1,4,3,3,3,2.023809524
0.015052,3,1 8 10,1,26,27,5,6,4.339694656
0.002701,3,6 10 10,1,6,3,3,3,2.314285714
0.001764,3,8 7 3,1,4,3,3,3,2.023809524
0.066978,3,5 0 9,1,65,21,3,7,4.83876652
0.028482,4,10 6 5 6,1,48,26,6,7,5.160353535
0.030276,4,7 3 1 8,1,45,22,4,7,5.174740484
0.00371,4,11 8 10 11,1,8,4,4,4,2.792682927
0.075439,4,4 3 0 9,1,78,58,6,7,4.566810345
0.033189,4,3 4 6 2,1,43,38,6,7,4.839912281
0.029166,4,4 2 7 8,1,37,46,4,5,3.087628866
0.020147,4,9 11 3 10,1,30,32,4,5,3.988372093
0.188534,4,4 2 11 7,1,185,88,4,11,6.956431535
0.005009,4,8 10 11 11,1,10,4,4,4,3.183908046
0.001342,4,1 10 5 9,1,3,2,2,2,1.6875
0.000879,4,10 1 11 4,1,2,2,2,2,1.5
0.00411,4,4 6 5 6,1,9,4,4,4,2.826086957
3.349847,4,3 6 10 6,1,1507,132,4,18,10.85241156
0.007819,4,4 3 5 3,1,9,4,4,4,2.826086957
0.001538,4,10 11 10 10,1,3,2,2,2,1.6875
0.029664,4,10 1 10 10,1,44,12,4,7,5.100401606
0.067474,4,7 4 11 1,1,89,42,4,9,6.340651022
0.007211,4,4 6 1 2,1,15,4,4,4,3.126262626
0.00474,4,2 6 7 5,1,10,6,4,4,2.945454545
0.072184,4,9 11 11 2,1,83,4,4,8,5.1937046
0.002445,5,8 3 3 3 5,1,5,3,3,3,2.230769231
0.694881,5,0 4 2 2 4,1,868,5,5,16,9.052061123
