duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
0.00268,1,10,1,1,1,1,1,1
0.000489,1,1,1,1,1,1,1,1
0.000442,1,0,1,1,1,1,1,1
0.00044,1,11,1,1,1,1,1,1
0.000426,1,4,1,1,1,1,1,1
0.000438,1,3,1,1,1,1,1,1
0.000421,1,3,1,1,1,1,1,1
0.000425,1,2,1,1,1,1,1,1
0.000438,1,11,1,1,1,1,1,1
0.00042,1,1,1,1,1,1,1,1
0.000451,1,10,1,1,1,1,1,1
0.000437,1,11,1,1,1,1,1,1
0.000425,1,8,1,1,1,1,1,1
0.000437,1,1,1,1,1,1,1,1
0.000446,1,9,1,1,1,1,1,1
0.000659,1,6,1,1,1,1,1,1
0.000472,1,0,1,1,1,1,1,1
0.00042,1,0,1,1,1,1,1,1
0.000429,1,1,1,1,1,1,1,1
0.000432,1,3,1,1,1,1,1,1
0.001062,2,3 8,1,2,2,2,2,1.5
0.001431,2,0 8,1,3,2,2,2,1.6875
0.001355,2,11 10,1,3,2,2,2,1.6875
0.00133,2,8 6,1,3,2,2,2,1.6875
0.001335,2,7 9,1,3,2,2,2,1.6875
0.001324,2,0 2,1,3,2,2,2,1.6875
0.001327,2,6 5,1,3,2,2,2,1.6875
0.00134,2,2 3,1,3,2,2,2,1.6875
0.001328,2,1 1,1,3,2,2,2,1.6875
0.001354,2,1 5,1,3,2,2,2,1.6875
0.001342,2,9 4,1,3,2,2,2,1.6875
0.001315,2,11 7,1,3,2,2,2,1.6875
0.001334,2,1 6,1,3,2,2,2,1.6875
0.000905,2,8 4,1,2,2,2,2,1.5
0.001491,2,9 5,1,3,2,2,2,1.6875
0.001346,2,3 11,1,3,2,2,2,1.6875
0.001336,2,0 10,1,3,2,2,2,1.6875
0.001316,2,4 1,1,3,2,2,2,1.6875
0.001339,2,1 6,1,3,2,2,2,1.6875
0.001327,2,7 10,1,3,2,2,2,1.6875
0.004511,3,2 5 5,1,7,3,3,3,2.4125
0.003398,3,11 10 10,1,6,3,3,3,2.314285714
0.003823,3,10 2 11,1,6,3,3,3,2.209677419
0.002281,3,7 6 4,1,4,3,3,3,2.261904762
0.004829,3,8 3 10,1,8,3,3,3,2.377777778
0.01645,3,0 5 6,1,23,17,3,4,2.948275862
0.021195,3,10 7 2,1,31,29,3,5,3.572222222
0.000533,3,7 0 1,1,1,1,1,1,1
0.002251,3,2 10 2,1,5,3,3,3,2.230769231
0.00273,3,9 1 6,1,6,3,3,3,2.209677419
0.025958,3,7 8 4,1,39,31,3,6,3.675115207
0.01897,3,2 1 10,1,30,25,3,6,3.593548387
0.003303,3,1 5 4,1,7,3,3,3,2.4125
0.002795,3,9 1 1,1,6,3,3,3,2.171428571
0.00231,3,8 10 7,1,5,3,3,3,2.230769231
0.002265,3,4 8 9,1,5,3,3,3,2.183333333
0.003028,3,8 11 11,1,6,3,3,3,2.314285714
0.003219,3,6 10 10,1,7,3,3,3,2.4125
0.003213,3,7 3 3,1,7,3,3,3,2.4125
0.000479,3,9 8 3,1,1,1,1,1,1
0.003798,4,9 0 1 11,1,8,4,4,4,2.670731707
0.005262,4,1 0 5 1,1,11,4,4,4,2.607142857
0.004233,4,7 3 8 11,1,9,4,4,4,2.717391304
0.249011,4,7 6 3 1,1,336,4,4,11,7.033026247
0.011935,4,2 4 4 9,1,23,4,4,5,3.617088608
0.112531,4,4 0 1 10,1,193,4,4,9,5.667447307
0.116883,4,10 8 5 0,1,148,16,4,10,6.688267993
0.005639,4,9 9 10 5,1,11,4,4,4,2.942307692
0.003241,4,3 8 7 11,1,7,4,4,4,3.05
0.015903,4,4 8 10 10,1,29,8,4,7,4.077419355
0.003724,4,7 6 10 9,1,8,4,4,4,2.911111111
0.003599,4,7 6 3 2,1,8,4,4,4,2.426829268
0.002714,4,1 6 3 2,1,6,4,4,4,2.6625
0.019931,4,0 8 3 1,1,34,22,4,6,4.12962963
0.004783,4,2 11 7 7,1,10,4,4,4,2.907692308
0.05722,4,8 7 10 3,1,73,4,4,8,4.934094903
0.003414,4,7 0 5 4,1,7,4,4,4,2.6
0.003757,4,11 11 8 9,1,8,4,4,4,3.054545455
0.001382,4,6 7 0 5,1,3,2,2,2,1.6875
0.009756,4,10 6 11 2,1,20,4,4,5,3.420792079
0.57881,5,0 1 10 6 2,1,598,25,7,12,8.073983074
0.072174,5,9 7 4 0 3,1,85,23,7,8,5.571196535
1.411456,5,9 0 11 9 4,1,1401,67,7,13,8.630609935
0.021581,5,3 6 9 0 0,1,30,23,5,6,4.137254902
0.018821,5,6 8 11 3 8,1,36,5,5,7,4.37254902
0.039033,5,6 4 1 6 5,1,60,15,5,9,5.816901408
0.021929,5,5 5 10 2 3,1,41,5,5,6,4.381284916
0.014925,5,9 5 10 5 2,1,27,5,5,7,5.086538462
0.009152,5,7 7 0 0 5,1,18,5,5,5,3.835025381
0.034926,5,6 7 9 8 11,1,65,5,5,7,5.076646091
0.012215,5,6 6 5 10 9,1,24,5,5,5,3.496332518
0.002462,5,4 4 11 10 9,1,4,3,3,3,2.023809524
0.033607,5,1 9 10 2 5,1,66,5,5,7,4.075231481
0.006705,5,0 5 4 2 3,1,13,5,5,5,3.545918367
0.037244,5,2 2 1 4 1,1,70,5,5,7,5.149842271
0.012817,5,7 3 8 3 4,1,23,7,5,8,4.856115108
0.02185,5,2 3 2 4 0,1,39,7,7,7,5.133237822
0.009804,5,3 7 5 0 0,1,20,5,5,5,3.40952381
0.021958,5,3 0 5 1 11,1,42,9,5,7,4.344884488
0.018285,5,8 11 9 8 6,1,37,5,5,6,3.718816068
1.709156,6,0 10 8 9 11 2,1,1370,54,10,13,7.716753716
2.50237,6,0 4 9 9 1 5,1,2048,42,8,15,8.258482399
0.009188,6,5 4 4 9 4 8,1,9,4,4,4,2.717391304
0.166302,6,0 4 2 11 2 3,1,302,6,6,9,6.229790243
0.737626,6,10 2 7 5 3 10,1,1004,12,8,13,7.545079284
0.176703,6,8 11 0 3 6 5,1,159,20,8,9,6.022481503
0.032304,6,4 11 11 4 2 2,1,63,6,6,6,4.533956386
0.072371,6,10 10 11 7 0 4,1,134,6,6,10,5.432599119
0.028359,6,3 3 6 11 8 11,1,51,12,6,8,4.927631579
0.447912,6,10 9 7 3 1 0,1,356,94,6,10,6.520842225
0.015249,6,6 2 9 0 2 3,1,26,18,4,7,4.321766562
0.058598,6,7 8 6 10 1 10,1,76,28,6,9,5.602430556
0.023502,6,7 2 10 2 9 0,1,42,20,6,9,6.093698176
0.004352,6,9 1 0 8 10 5,1,9,4,4,4,2.83
0.183917,6,9 4 4 1 1 5,1,271,6,6,9,7.538847655
0.044753,6,1 2 9 6 10 6,1,82,6,6,8,5.273080661
0.167873,6,7 11 8 9 8 5,1,208,58,6,9,6.249933985
0.159115,6,2 1 8 1 11 11,1,267,14,6,10,5.818583141
8.036465,6,3 5 4 0 8 3,1,7454,10,8,17,10.2247277
0.101466,6,10 1 6 11 8 0,1,96,36,4,7,4.361972951
0.007191,7,5 5 4 8 10 6 4,1,14,5,5,5,3.063380282
0.657077,7,7 8 8 1 11 8 10,1,693,31,9,12,7.251398293
49.604081,7,11 11 1 8 9 5 2,1,39097,51,11,19,11.37943521
3.584798,7,8 7 7 10 8 7 3,1,4347,37,11,14,8.236325966
0.615283,7,8 8 1 8 7 3 0,1,587,19,9,12,8.274918281
0.003898,7,11 11 1 9 8 3 2,1,5,3,3,3,2.230769231
2.818042,7,4 8 1 3 0 0 4,1,1986,75,7,14,8.695648908
0.006946,7,8 7 0 1 9 9 9,1,5,3,3,3,2.230769231
0.017217,7,4 11 2 0 2 4 8,1,35,5,5,5,3.207594937
6.974207,7,6 9 4 7 9 0 2,1,7695,39,9,15,9.433365864
1.865849,7,8 0 2 1 10 8 10,1,1223,95,7,13,8.045307688
0.943101,7,4 7 7 8 11 11 10,1,1127,5,5,13,8.283517945
4.949649,7,1 0 1 6 11 2 6,1,4113,37,9,17,10.3635256
0.044049,7,11 10 2 3 4 11 3,1,58,5,5,7,4.116710875
0.299145,7,8 6 1 11 8 9 2,1,362,11,5,12,7.666592361
10.382574,7,6 8 7 4 0 4 2,1,5212,127,11,16,10.76054627
0.058396,7,8 11 3 5 7 3 3,1,63,13,7,8,5.481184948
0.306716,7,3 11 7 2 0 3 3,1,423,15,7,12,6.402961184
0.549229,7,6 8 8 6 7 2 0,1,776,33,7,11,6.931953146
0.885894,7,1 1 9 9 2 11 6,1,1144,15,9,13,8.46171446
3.389158,8,9 10 1 11 9 11 3 10,1,3937,16,8,16,9.040548364
21.51041,8,10 10 2 2 5 7 0 4,1,14452,6,6,18,11.29879101
0.469928,8,3 3 0 1 1 1 8 4,1,437,4,4,11,7.738979349
2.8836,8,4 8 4 3 5 0 7 4,1,3235,18,10,15,9.932474783
130.309286,8,6 4 4 1 8 0 2 4,1,88488,46,12,20,12.45207022
0.739331,8,4 11 8 5 4 5 7 6,1,606,20,6,13,8.05540951
0.244813,8,3 6 3 4 0 9 10 1,1,331,38,8,10,6.392845089
